PMID,Sentence,Found Terms
39104668,"There is evidence that the subthalamic nucleus (STN) and globus pallidus pars externa (GPe) involve in the development of Parkinson's disease, a neurodegenerative disorder characterized by motor and non-motor symptoms and loss of dopaminergic neurons in which the error index (","Disease, Parkinson Disease"
39104622,"In an effort to develop novel BoNT type A (BoNT/A) immunotherapeutics, sorted by flow cytometry plasmablasts and activated memory B cells from a donor repeatedly injected with BoNT/A for aesthetic botulinum therapy could be used due to obtain hybridomas producing native antibodies.","Flow Cytometry, Memory"
39104425,Roles of Setbp1 in developmental hematopoiesis and acute myeloid leukemia.,"Leukemia, Hematopoiesis"
39101057,Zero-shot Learning with Minimum Instruction to Extract Social Determinants and Family History from Clinical Notes using GPT Model.,"Social Learning, Learning, Family"
39100705,Causal Association of Arterial Stiffness With the Risk of Chronic Kidney Disease.,"Association, Disease, Chronic Disease"
39100705,"Previous studies on the direction of the association between arterial stiffness (AS) and chronic kidney disease (CKD) were inconsistent, leaving a knowledge gap in understanding the temporal sequence of the association.","Association, Disease, Chronic Disease"
39100696,Arterial Stiffness as a Predisposing Factor for Chronic Kidney Disease.,"Disease, Chronic Disease"
39099580,Does Nonlinguistic Segmentation Predict Literacy in Second Language Education?,"Literacy, Language"
39099580,"Statistical learning (SL) is a learning mechanism that does not directly depend on knowledge of a language, but predicts language and literacy outcomes for children and adults.","Literacy, Learning, Language"
39099580,"Research linking SL and literacy has not addressed children who first learn to read in their second language (L2), common in primary schools worldwide.","Literacy, Language"
39099580,"Several studies have linked SL with childhood literacy in Australia, China, Europe, and the U.S., and we pre-registered an adaptation for Côte d'Ivoire, where students are educated in French and speak a local language at home.","Literacy, Language"
39099580,"Although this finding may suggest a role of SL in emergent L2 skills, it underscores the need to include L2 acquisition contexts in literacy research.","Role, Literacy"
39095176,"Sedimentation sludge water (SSW), a prominent constituent of wastewater from drinking water treatment plants, has received limited attention in terms of its treatment and utilization likely due to the perceived difficulties associated with managing SSW sludge.","Attention, Drinking"
39095157,"However, the residual norfloxacin in the environment can be biomagnified via food chain and may damage the human liver and delay the bone development of minors.","Human Development, Bone Development"
39081982,"Behavioral and Psychological Symptoms of Dementia (BPSD) are a heterogeneous set of psychological and behavioral abnormalities seen in persons with dementia (PwD), significantly impacting their quality of life and that of their caregivers.","Behavioral Symptoms, Dementia"
39081982,"Caregivers randomized to the intervention arm will use the BPSDiary to record specific BPSD, including insomnia, agitation/anxiety, aggression, purposeless motor behavior, and delusions/hallucinations, registering time of onset, severity, and potential triggers.","Behavior, Aggression"
39081975,"Using participatory research to co-produce an education and training e-resource to support care home staff to meet the sexuality, intimacy and relationship needs of care home residents with and without dementia.","Sexuality, Dementia"
39077381,"Recent outbreaks, such as coronavirus disease 2019 (COVID-19), have caused widespread illness, death, and socioeconomic disruptions worldwide.","Disease, Death, COVID-19"
39077103,Predictive Value of the Fibrinogen to Gamma-Glutamine Transferase Ratio in the Long-Term Outcome in Patients with Coronary Heart Disease: A Retrospective Cohort Study.,"Disease, Coronary Disease"
39077102,To develop and validate a nomogram prediction model for assessing the risk of major adverse cardiovascular and cerebrovascular events (MACCE) in patients with nonvalvular atrial fibrillation (NVAF) and heart failure with preserved ejection fraction (HFpEF) within one year of discharge.,"Heart Failure, Atrial Fibrillation"
39077101,Multisystem Inflammatory Syndrome in Children after Coronavirus Disease 2019 and Its Cytokine Storms.,"Disease, Syndrome"
39077098,Biomechanical Evaluation of Mitral Valve Repair: Virtual Chordal Transposition to Restore Anterior Leaflet Prolapse.,"Prolapse, Mitral Valve Prolapse"
39077097,"Atherosclerosis, the key pathogenesis of cardiovascular disease, is a leading cause of death and disability worldwide.","Disease, Death, Atherosclerosis"
39077096,The Effectiveness of the Smartphone-Based WeChat Platform on Reducing Time to Diagnosis and Treatment of ST-segment Elevation Myocardial Infarction.,"Myocardial Infarction, Diagnosis, Infarction"
39077096,This study evaluated the effectiveness of the smartphone-based WeChat platform in reducing the ischemia time of ST-segment elevation myocardial infarction (STEMI).,"Myocardial Ischemia, Myocardial Infarction, Infarction, Ischemia"
39077095,Percutaneous left atrial appendage closure (LAAC) has been established in clinical practice as an attractive alternative to oral anticoagulation for preventing stroke in patients with atrial fibrillation and high bleeding risk.,"Atrial Fibrillation, Stroke"
39077094,Pathophysiology and Treatment of the No-Reflow Phenomenon in ST-Segment Elevation Myocardial Infarction: Focus on Low-Dose Fibrinolysis during Primary Percutaneous Intervention.,"Fibrinolysis, Myocardial Infarction, Infarction, No-Reflow Phenomenon"
39077094,Primary percutaneous coronary intervention (PCI) is the current class I therapeutic approach to treat acute ST-elevation myocardial infarction (STEMI).,"Myocardial Infarction, Infarction"
39077094,"A recent and innovative therapeutic approach gaining attention is low-dose fibrinolysis during primary PCI, which offers the potential to augment coronary flow post-myocardial revascularization.","Fibrinolysis, Attention"
39077092,Effect of Antiplatelet Agents on Abdominal Aortic Aneurysm Process: A Systematic Review and Meta-Analysis.,"Aneurysm, Aortic Aneurysm"
39077092,"This systematic review and meta-analysis aims to investigate whether antiplatelet agents are associated with the reduction, expansion, and rupture of abdominal aortic aneurysm (AAA).","Aneurysm, Aortic Rupture, Aortic Aneurysm, Aortic Aneurysm, Abdominal, Rupture"
39077091,"Furthermore, the widespread adoption of atrial late gadolinium enhancement cardiac magnetic resonance (CMR) imaging and the ongoing refinement of invasive voltage mapping techniques have allowed for detailed assessment of fibrotic remodelling prior to or at the time of procedure.","Cardiac Imaging Techniques, Magnetic Resonance Imaging"
39077090,Chronic aortic regurgitation (AR) is a common valvular disease characterized by an overload of left ventricular volume and pressure.,"Disease, Chronic Disease, Ventricular Pressure"
39077090,"As an advanced imaging technique, cardiac magnetic resonance (CMR) has become the gold standard for assessing cardiac volume and function.","Magnetic Resonance Imaging, Cardiac Volume"
39077089,Macrophage in Sporadic Thoracic Aortic Aneurysm and Dissection: Potential Therapeutic and Preventing Target.,"Dissection, Aortic Dissection, Aneurysm, Aortic Aneurysm"
39077089,Thoracic aortic aneurysm and dissection (TAAD) is a life-threatening cardiovascular disorder lacking effective clinical pharmacological therapies.,"Dissection, Aortic Dissection, Aneurysm, Aortic Aneurysm"
39077089,"In this review, we first highlight the important role of inflammation and immune cell infiltration in TAAD.","Role, Inflammation"
39077088,Assessment of Right Ventricular-Arterial Coupling by Echocardiography in Patients with Right Ventricular Pressure and Volume Overload.,"Ventricular Pressure, Echocardiography"
39077088,Right ventricle-pulmonary arterial (RV-PA) coupling is considered the gold standard for assessing right ventricular (RV) function and can be evaluated noninvasively by echocardiography.,"Ventricular Function, Echocardiography"
39077088,"The ratios of tricuspid annular plane systolic excursion/pulmonary artery systolic pressure (TAPSE/PASP), RV global longitudinal strain (G-RVLS)/PASP, and stroke volume/end-systolic volume (SV/ESV) have been proposed as surrogates of RV-PA coupling.","Global Longitudinal Strain, Stroke, Stroke Volume"
