Symptom,Related terms
Cachexia,"Mice, Inbred C57BL;Carcinoma, Pancreatic Ductal;Cytokine TWEAK;Hand Strength;Exosomes;Juglans;Oxidative Stress;Receptors, Interleukin-6;Biomarkers;Nutritional Support;Biological Products;Acidosis;Antibodies, Monoclonal, Humanized;Measles;Infant Formula;Myostatin;Lactic Acid;Receptor, Cannabinoid, CB1;Energy Metabolism;South Asian People;Tumor Microenvironment;HMGB1 Protein;Sex Characteristics;Antibodies, Monoclonal;Pancreatic Neoplasms;Proto-Oncogene Proteins c-akt;Coculture Techniques;Typhoid Fever;Appetite;Low-Level Light Therapy;Sarcopenia;Hypothalamus;Child Nutrition Disorders;Mathematical Concepts;Digestive System Neoplasms;Lipopolysaccharides;Receptors, G-Protein-Coupled;Doxorubicin;Forkhead Box Protein O3;Adipose Tissue;Antineoplastic Agents;Lipocalin-2;Muscle Proteins;Endocannabinoids;Muscle, Skeletal;Quality of Life;Immunotherapy;Sarcoma;Microglia;Taurine;Carcinoma, Squamous Cell;Tuberculosis;Macrophages;Cachexia;Reactive Oxygen Species;Muscular Atrophy;Exercise Therapy;Hydrazines;Carcinoma, Transitional Cell;Adipose Tissue, White;Gastrectomy;Mice, Inbred BALB C;Fatty Acid Elongases;Transforming Growth Factor beta;Product Surveillance, Postmarketing;Communicable Diseases;Signal Transduction;Lipolysis;Esophageal Neoplasms;Cyclopentane Monoterpenes;Malnutrition;Muscle Fibers, Skeletal;Frailty;Sanitation;Qualitative Research;Protein-Energy Malnutrition;Mouth Neoplasms;Tumor Necrosis Factor-alpha;Dysentery;3T3-L1 Cells;Kwashiorkor;Angiotensin II;Mentoring;Stomach Neoplasms;Apoptosis;Extracellular Vesicles;Berberine;Receptors, Adrenergic, beta-3;Nutritional Status;Gastrointestinal Microbiome;Glycolysis;Anti-Inflammatory Agents;Venous Thromboembolism;Interleukin-6;Neoplasms;Colonic Neoplasms;Pneumonia;Head and Neck Neoplasms;Urinary Bladder Neoplasms;Catechols;Adipocytes;Neurons;Phosphatidylinositol 3-Kinases;Withanolides"
Weight Cycling,"Islets of Langerhans;Military Personnel;Obesity, Morbid;Non-alcoholic Fatty Liver Disease;Insulin Resistance;Muscles;Gastrointestinal Microbiome;Sleep Apnea Syndromes;Pregnancy Complications;Liver;Obesity;Registries;Diabetes Mellitus, Type 2;Diet, Reducing;Heart Failure;Microbiota;Sleep Initiation and Maintenance Disorders;Body-Weight Trajectory;Overweight;Cardiovascular Diseases;Weight Loss;Colorectal Neoplasms;Weight Cycling;Sports;Psychological Distress;Adenocarcinoma;Osteoarthritis, Knee;Exercise;Diabetes Mellitus;Hyperinsulinism;Pancreatic Neoplasms"
Fetal Weight,"Pregnancy-Associated Plasma Protein-A;Obesity, Maternal;Pregnancy Trimester, Third;Birth Weight;Mentoring;Anesthesia, Spinal;Infant, Small for Gestational Age;Insulin Resistance;Rhizome;Zika Virus;Pregnancy Trimester, First;Perinatology;Fetal Macrosomia;Pregnancy, Twin;Artificial Intelligence;Pregnancy Complications, Hematologic;Choline;Ghrelin;Zika Virus Infection;Pregnancy Complications, Parasitic;Chromosome Aberrations;Placenta Growth Factor;Placenta;Umbilical Veins;Chorionic Gonadotropin, beta Subunit, Human;Manganese;Abortion, Spontaneous;Dietary Supplements;Infant, Newborn, Diseases;Postpartum Hemorrhage;Blood Glucose;Ferroptosis;Vascular Endothelial Growth Factor Receptor-1;Pre-Eclampsia;Hypertension;Fetal Weight;Obstetric Labor Complications;Hypotension;Diabetes Mellitus, Type 2;Iodide Peroxidase;Leptin;Premature Birth;Diabetes, Gestational;Depression;Adenomyosis;Hypertension, Pregnancy-Induced;Nuchal Translucency Measurement;Atractylodes;Magnetic Resonance Imaging;Amniotic Fluid;Spleen;Fetal Growth Retardation;Anemia;Pregnancy Outcome;Deep Learning;Lung;Malaria;Placental Lactogen;HIV Infections;Labor, Obstetric;Placenta Previa;Hyperoxia;Ultrasonography, Prenatal;Fetal Development;Diabetes Mellitus, Type 1"
Overweight,"Mice, Inbred C57BL;Disease Models, Animal;Vaginosis, Bacterial;Rats, Wistar;Waist Circumference;Immune Checkpoint Inhibitors;Obesity, Morbid;Antirheumatic Agents;Coronary Disease;Laparoscopy;Biomarkers;Glucagon-Like Peptide-1 Receptor;Thinness;Osteoporosis;Proto-Oncogene Proteins c-bcl-2;Oxytocin;Ischemic Stroke;Glomerular Filtration Rate;Hypertension;Sugar-Sweetened Beverages;Inflammation;Cardiorespiratory Fitness;Polycystic Ovary Syndrome;Metabolic Syndrome;Anti-Bacterial Agents;Mesenchymal Stem Cells;Depression;Mice, Knockout;Weight Loss;Taxes;Rituximab;Rotator Cuff Injuries;Hippocampus;Pediatric Obesity;Braces;bcl-2-Associated X Protein;Insulin Resistance;Solanum lycopersicum;Sarcopenia;Palm Oil;Nutrition Surveys;Fish Oils;Scoliosis;Adipose Tissue;Diabetes Mellitus, Type 2;Epigenesis, Genetic;Anti-Obesity Agents;Monocytes;Breast Neoplasms;Genotype;Gestational Weight Gain;Awards and Prizes;Intubation, Intratracheal;Overweight;Diabetes Mellitus;Lipid Metabolism;Diet, High-Fat;Genome-Wide Association Study;Algorithms;Smoking;Lung Neoplasms;Administration, Intranasal;Renal Insufficiency, Chronic;Cesarean Section;Adipose Tissue, White;Chemokine CCL2;Sleep;Obesity, Abdominal;Interferon Regulatory Factor-3;Spheroids, Cellular;Obesity;Glucagon-Like Peptide 1;Stents;Xanthophylls;Alanine Transaminase;Arthroscopy;Signal Transduction;Cardiometabolic Risk Factors;Cardiovascular Diseases;Life Style;Arthritis, Rheumatoid;Body Mass Index;Fatty Liver;Swimming;Cell Differentiation;Robotic Surgical Procedures;Drug Costs;3T3-L1 Cells;Hyperlipidemias;Carcinoma, Non-Small-Cell Lung;Non-alcoholic Fatty Liver Disease;Metformin;Arthritis, Experimental;Gastrointestinal Microbiome;Pregnancy Complications;Tryptophan;Dietary Supplements;Natural Killer T-Cells;Prader-Willi Syndrome;Sleep Wake Disorders;Registries;Ultrasonography;Coronary Artery Disease;Mitochondria;Metabolomics;Postmenopause;Premenopause;Lipids;Medicare;Infertility, Female;Adipocytes;Protein Serine-Threonine Kinases;Extracellular Matrix;Mendelian Randomization Analysis;Anastomotic Leak;Machine Learning"
Obesity,"Mice, Inbred C57BL;Disease Models, Animal;Vaginosis, Bacterial;Rats, Wistar;Waist Circumference;Immune Checkpoint Inhibitors;Obesity, Morbid;Antirheumatic Agents;Coronary Disease;Laparoscopy;Biomarkers;Glucagon-Like Peptide-1 Receptor;Thinness;Osteoporosis;Proto-Oncogene Proteins c-bcl-2;Oxytocin;Ischemic Stroke;Glomerular Filtration Rate;Hypertension;Sugar-Sweetened Beverages;Inflammation;Cardiorespiratory Fitness;Polycystic Ovary Syndrome;Metabolic Syndrome;Anti-Bacterial Agents;Mesenchymal Stem Cells;Depression;Mice, Knockout;Weight Loss;Taxes;Rituximab;Rotator Cuff Injuries;Hippocampus;Pediatric Obesity;Braces;bcl-2-Associated X Protein;Insulin Resistance;Solanum lycopersicum;Sarcopenia;Palm Oil;Nutrition Surveys;Fish Oils;Scoliosis;Adipose Tissue;Diabetes Mellitus, Type 2;Epigenesis, Genetic;Anti-Obesity Agents;Monocytes;Breast Neoplasms;Genotype;Gestational Weight Gain;Awards and Prizes;Intubation, Intratracheal;Overweight;Diabetes Mellitus;Lipid Metabolism;Diet, High-Fat;Genome-Wide Association Study;Algorithms;Smoking;Lung Neoplasms;Administration, Intranasal;Renal Insufficiency, Chronic;Cesarean Section;Adipose Tissue, White;Chemokine CCL2;Sleep;Obesity, Abdominal;Interferon Regulatory Factor-3;Spheroids, Cellular;Obesity;Glucagon-Like Peptide 1;Stents;Xanthophylls;Alanine Transaminase;Arthroscopy;Signal Transduction;Cardiometabolic Risk Factors;Cardiovascular Diseases;Life Style;Arthritis, Rheumatoid;Body Mass Index;Fatty Liver;Swimming;Cell Differentiation;Robotic Surgical Procedures;Drug Costs;3T3-L1 Cells;Hyperlipidemias;Carcinoma, Non-Small-Cell Lung;Non-alcoholic Fatty Liver Disease;Metformin;Arthritis, Experimental;Gastrointestinal Microbiome;Pregnancy Complications;Tryptophan;Dietary Supplements;Natural Killer T-Cells;Prader-Willi Syndrome;Sleep Wake Disorders;Registries;Ultrasonography;Coronary Artery Disease;Mitochondria;Metabolomics;Postmenopause;Premenopause;Lipids;Medicare;Infertility, Female;Adipocytes;Protein Serine-Threonine Kinases;Extracellular Matrix;Mendelian Randomization Analysis;Anastomotic Leak;Machine Learning"
"Obesity, Abdominal","Dairy Products;Waist Circumference;Severity of Illness Index;Fast Foods;Pancreatitis;Laparoscopy;Asian People;Rats, Inbred WKY;Heart Disease Risk Factors;Hypertension;Cardiorespiratory Fitness;Metabolic Syndrome;Depression;Caloric Restriction;Persea;Rats, Inbred SHR;Exercise;Pediatric Obesity;Body Temperature;Phosphatidylserines;Endometrial Neoplasms;Vitamin B 12;Insulin Resistance;Hypercholesterolemia;Obesity Paradox;Colitis;Nutrition Surveys;Hyperuricemia;Genetic Predisposition to Disease;Urinary Incontinence;Diabetes Mellitus, Type 2;Causality;Rectal Neoplasms;Waist-Hip Ratio;Adenoma;Cholesterol, HDL;Vitamin D;Gestational Weight Gain;Diabetes Mellitus;Overweight;Sedentary Behavior;Indians, South American;Genome-Wide Association Study;Smoking;Vulnerable Populations;Prostatic Neoplasms;Renal Insufficiency, Chronic;Hypertriglyceridemia;Diet;Obesity, Abdominal;Kidney Neoplasms;Cholelithiasis;Obesity;Alcohol Drinking;Cerebrovascular Disorders;Heart Failure;Stroke Volume;Urinary Incontinence, Stress;Diet, Mediterranean;Adiposity;Cardiovascular Diseases;Colorectal Neoplasms;Body Mass Index;Endothelium, Vascular;Robotic Surgical Procedures;Tumor Necrosis Factor-alpha;Vasodilation;Vascular Stiffness;Hemodynamics;Socioeconomic Factors;Prediabetic State;Hyperlipidemias;Non-alcoholic Fatty Liver Disease;Hyperglycemia;Postpartum Period;Blood Glucose;Lipid Accumulation Product;Intra-Abdominal Fat;Sleep Wake Disorders;Urban Population;Weight Gain;Infertility, Female;Probiotics;Sleep Apnea, Obstructive;Dyslipidemias;Mendelian Randomization Analysis"

"Obesity, Maternal","Diabetes Mellitus, Type 1;Metabolome;Diabetes, Gestational;Cerebral Palsy;Prenatal Exposure Delayed Effects;Kidney;Extracellular Vesicles;Maternal Nutritional Physiological Phenomena;Premature Birth;Brain;Obesity, Maternal;Oxytocics;Mice, Inbred C57BL;Fetal Diseases;Child Development;Thermogenesis;Fetal Blood;Adiponectin;Gastrointestinal Microbiome;Asthma;Stillbirth;Renin;Acute Kidney Injury;TOR Serine-Threonine Kinases;Oxytocin;Blood Pressure;Pregnancy Complications;Biomarkers;Hypertension;Neoplasm Proteins;Infant, Premature;Hypertension, Pregnancy-Induced;Adiposity;Obesity;Melatonin;Dermatitis, Atopic;Vernix Caseosa;Dietary Supplements;Reperfusion Injury;Pregnancy in Diabetics;Body Mass Index;Respiratory Distress Syndrome;Autism Spectrum Disorder;Metabolic Syndrome;Proteoglycans;Enterocolitis, Necrotizing;Catechin;Pediatric Obesity;Diet, High-Fat;Microtubule-Associated Proteins;Autophagy;Mesenchymal Stem Cells;Renin-Angiotensin System;Cardiovascular Diseases;Androgens;Inflammation;Dyslipidemias;Thyrotropin;Thyroid Diseases;Pre-Eclampsia;Neuropeptides;MicroRNAs;Gestational Weight Gain;Metabolic Diseases;Beclin-1;Adipocytes, Beige;Angiotensinogen;Hypothalamus;Hispanic or Latino;Ferroptosis;Infant, Newborn, Diseases;Attention Deficit Disorder with Hyperactivity;Microbiota"
"Obesity, Metabolically Benign","Cardiorespiratory Fitness;Coronary Artery Disease;Glucagon-Like Peptide-1 Receptor;Diabetes Mellitus, Type 2;Kidney Calculi;Carotid Artery Diseases;Kidney Transplantation;Dementia;Coronary Disease;Epigenesis, Genetic;Cancer Survivors;Diet, Mediterranean;Hypertension;Lung Neoplasms;Neoplasms;Bariatric Surgery;Hyperglycemia;Polycystic Ovary Syndrome;Kidney Failure, Chronic;Metabolic Syndrome;Obesity, Metabolically Benign;Pediatric Obesity;Metabolism, Inborn Errors;Phenotype;Cardiovascular Diseases;Atrial Fibrillation;Infertility, Female;Vascular Stiffness;Insulin Resistance;Atherosclerosis;Obesity, Morbid;Metabolic Diseases;Gastrointestinal Neoplasms;Diabetes Mellitus;Cardiovascular System;Renal Insufficiency, Chronic;Hyperuricemia"
"Obesity, Morbid","Choledocholithiasis;Kidney Transplantation;Receptor, Melanocortin, Type 4;Lipidomics;Pain, Postoperative;Patient Acceptance of Health Care;Cholesterol, HDL;Postoperative Complications;Alpha-Ketoglutarate-Dependent Dioxygenase FTO;Stomach Neoplasms;Mastication;Gastric Balloon;Patient Satisfaction;Bariatric Surgery;Ghrelin;Anastomotic Leak;Arthroplasty, Replacement, Knee;Gastrointestinal Stromal Tumors;Postoperative Hemorrhage;Metabolic Syndrome;Schools;Intubation, Intratracheal;Ultrasonography, Interventional;COVID-19;Nerve Block;SARS-CoV-2;Energy Metabolism;Venous Thromboembolism;Fibroblast Growth Factors;Food Preferences;Cognition;Nephrectomy;Carcinoma, Renal Cell;Feasibility Studies;Ultrasonography;Fatty Liver;Telemedicine;Pediatric Obesity;Laparoscopy;Propensity Score;gamma-Glutamyltransferase;Duodenum;Diabetes Mellitus, Type 2;Gastrectomy;Mice, Knockout;Quality of Life;Nutritional Status;Kidney Neoplasms;Metabolomics;Obesity;Uncoupling Protein 2;Weight Loss;Body Mass Index;Reoperation;Vitamins;Diarrhea;Anastomosis, Surgical;Oral Hygiene;Antifibrinolytic Agents;Self Concept;Thermogenesis;Gastric Bypass;Tranexamic Acid;Gastroesophageal Reflux;Weight Gain;Malnutrition;Hand-Assisted Laparoscopy;Stents;Biomarkers;Environmental Pollutants;Prader-Willi Syndrome;Hospitals, Teaching;Recurrence;Gastroplasty;Robotic Surgical Procedures;Magnets;Incidental Findings;Polymorphism, Single Nucleotide;Breast Neoplasms;Obesity, Morbid"
Pediatric Obesity,"Cardiorespiratory Fitness;Taxes;Databases, Factual;Cost-Benefit Analysis;Exercise;Vitamin D Deficiency;Focus Groups;Postoperative Complications;Body Height;Residence Characteristics;Physical Fitness;Health Personnel;Diet;Metabolic Syndrome;Body Composition;Inflammation;Schools;COVID-19;Enterococcus faecium;Slipped Capital Femoral Epiphyses;School Health Services;Nutrition Surveys;Thinness;Continuity of Patient Care;Diet, Mediterranean;Energy Intake;Alanine Transaminase;Qualitative Research;Bifidobacterium;Feasibility Studies;Quality-Adjusted Life Years;Pediatric Obesity;Randomized Controlled Trials as Topic;Diabetes, Gestational;Anti-Bacterial Agents;Cardiometabolic Risk Factors;Tyramine;Inulin;Anti-Obesity Agents;Puberty;Cesarean Section;Non-alcoholic Fatty Liver Disease;Topiramate;Gastrointestinal Microbiome;Beverages;Sunlight;Nutritional Status;Health Promotion;Sugar-Sweetened Beverages;Blood Pressure;Sleep;Adiposity;Obesity;Caregivers;Weight Loss;Video Games;Rural Population;Birth Weight;Body Mass Index;Life Style;Infant Formula;Dyslipidemias;Breast Feeding;Screen Time;Parathyroid Hormone;Chemokine CXCL12;Sedentary Behavior;Child Day Care Centers;Resistance Training;Circadian Rhythm;Students;Blood Pressure Monitoring, Ambulatory;Dietary Supplements;Phylogeny;Overweight;Heart Transplantation;Social Stigma;RNA, Ribosomal, 16S;Machine Learning;Vitamin D;Atherosclerosis"
Thinness,"Muscle Proteins;Neurons;Exercise;Fertilization in Vitro;Electric Impedance;Endometrium;Protective Factors;3T3-L1 Cells;Body Height;Stomach Neoplasms;Esophageal Neoplasms;Anti-Inflammatory Agents;Muscular Atrophy;Receptors, G-Protein-Coupled;Berberine;Cyclopentane Monoterpenes;Hospitalization;Interleukin-6;Exercise Tolerance;Inflammation;Idiopathic Pulmonary Fibrosis;Gestational Weight Gain;Alcoholism;Immunotherapy;Braces;Muscle Fibers, Skeletal;Extracellular Vesicles;Nutrition Surveys;Thinness;Dementia;Receptors, Interleukin-6;Adipose Tissue, White;Health Surveys;Piperazines;Heterocyclic Compounds, 3-Ring;HIV Infections;Qualitative Research;Depression;Receptors, Adrenergic, beta-3;Neoplasms;Tumor Necrosis Factor-alpha;Mothers;Pediatric Obesity;Scoliosis;Leukemia, Myeloid, Acute;Social Norms;Lipopolysaccharides;Craving;Signal Transduction;Diabetes Mellitus, Type 2;Gastrectomy;Catechols;Heart Failure;Oxazines;Anemia;Product Surveillance, Postmarketing;Non-alcoholic Fatty Liver Disease;Quality of Life;Pregnancy Rate;Hydrazines;Nutritional Status;Bayes Theorem;Pregnancy Complications;Lipocalin-2;Diet, Healthy;Obesity;Caregivers;Rural Population;Body Mass Index;Exercise Test;Urban Population;Biological Products;Withanolides;HMGB1 Protein;Hypothalamus;Adipose Tissue;Health Status;Fatty Acid Elongases;Appetite;Microglia;Angiotensin II;Pyridones;Cachexia;Exosomes;HIV Integrase Inhibitors;Mice, Inbred C57BL;Digestive System Neoplasms;Tumor Microenvironment;Nutritional Support;Reactive Oxygen Species;Weight Gain;Malnutrition;Osteoporotic Fractures;Biomarkers;Feeding Behavior;Body Weight;Growth Differentiation Factor 15;Personal Satisfaction;Lipolysis;Catha;Overweight;Lactic Acid;Feeding and Eating Disorders;Heart Transplantation;Apoptosis;Taurine;Exercise Therapy;Serum Albumin;Family Characteristics"
Cachexia,"Frailty;Muscle Proteins;Neurons;Phosphatidylinositol 3-Kinases;Antineoplastic Agents;Measles;Protein-Energy Malnutrition;3T3-L1 Cells;Sanitation;Stomach Neoplasms;Esophageal Neoplasms;Mice, Inbred BALB C;Anti-Inflammatory Agents;Oxidative Stress;Muscular Atrophy;Receptors, G-Protein-Coupled;Urinary Bladder Neoplasms;Berberine;Cyclopentane Monoterpenes;Carcinoma, Squamous Cell;Receptor, Cannabinoid, CB1;Interleukin-6;Sarcopenia;South Asian People;Immunotherapy;Energy Metabolism;Colonic Neoplasms;Muscle Fibers, Skeletal;Extracellular Vesicles;Dysentery;Venous Thromboembolism;Receptors, Interleukin-6;Adipose Tissue, White;Qualitative Research;Receptors, Adrenergic, beta-3;Neoplasms;Tumor Necrosis Factor-alpha;Tuberculosis;Mentoring;Acidosis;Antibodies, Monoclonal, Humanized;Kwashiorkor;Low-Level Light Therapy;Juglans;Coculture Techniques;Mathematical Concepts;Transforming Growth Factor beta;Lipopolysaccharides;Sex Characteristics;Signal Transduction;Macrophages;Communicable Diseases;Gastrectomy;Catechols;Hand Strength;Product Surveillance, Postmarketing;Quality of Life;Gastrointestinal Microbiome;Hydrazines;Nutritional Status;Proto-Oncogene Proteins c-akt;Sarcoma;Typhoid Fever;Lipocalin-2;Pancreatic Neoplasms;Doxorubicin;Carcinoma, Transitional Cell;Infant Formula;Carcinoma, Pancreatic Ductal;Adipocytes;Muscle, Skeletal;Biological Products;Withanolides;HMGB1 Protein;Endocannabinoids;Hypothalamus;Adipose Tissue;Fatty Acid Elongases;Appetite;Mouth Neoplasms;Microglia;Angiotensin II;Cachexia;Exosomes;Mice, Inbred C57BL;Antibodies, Monoclonal;Digestive System Neoplasms;Tumor Microenvironment;Nutritional Support;Myostatin;Reactive Oxygen Species;Forkhead Box Protein O3;Malnutrition;Biomarkers;Cytokine TWEAK;Lipolysis;Pneumonia;Lactic Acid;Apoptosis;Taurine;Head and Neck Neoplasms;Exercise Therapy;Child Nutrition Disorders;Glycolysis"
Emaciation,"Leukemia;Metabolome;Ctenocephalides;Perception;Otters;Reindeer;Electrons;Cause of Death;Intensive Care Units, Pediatric;Parental Death;Germinoma;Income;Electromyography;Disease Outbreaks;Pituitary Diseases;Hypothalamic Diseases;Herniorrhaphy;Renal Dialysis;Dog Diseases;Malnutrition;Bone Marrow;Radiometry;Flea Infestations;Drinking Water;Brain Neoplasms;Spheniscidae;Health Status Disparities;Poverty;Follicular Atresia;Animals, Wild;Cat Diseases;Hernia, Inguinal;Weight Loss;Drug-Related Side Effects and Adverse Reactions;Geese;Takifugu;Chickens;Myxozoa;Hernia, Obturator;Inflammatory Bowel Diseases;Models, Biological;Cattle Diseases;Intelligence;Brain Stem Neoplasms;World War II;Community Health Services;Siphonaptera;Laparoscopy;Flounder;Beauty;Colitis, Ulcerative;Phenanthrenes;Anorexia Nervosa;Fish Diseases"
"Cardiac Output, High","Hepatic Veins;Ventricular Function, Left;Energy Metabolism;Echocardiography, Doppler, Color;Femoral Vein;Cardiac Output, High;Pulmonary Arterial Hypertension;Heart Failure;Arteriovenous Shunt, Surgical;Wounds, Gunshot;Drug Overdose;Heart Valve Prosthesis Implantation;Anesthesia;Intensive Care Units;Endovascular Procedures;Models, Theoretical;Hypertension, Pulmonary;Femoral Artery;Kidney Neoplasms;Renal Dialysis;Stents;Vascular System Injuries;Chemical and Drug Induced Liver Injury;Infant, Premature;Carcinoma, Renal Cell;Telangiectasia, Hereditary Hemorrhagic;Heart Diseases;Iatrogenic Disease;Fetal Growth Retardation;Catheterization, Swan-Ganz;Echocardiography;Arterial Pressure;Thrombocytopenia;Arteriovenous Fistula;Blood Vessel Prosthesis Implantation;Echocardiography, Transesophageal;Cardiac Output;Leg Ulcer;Hemodynamics;Discrete Subaortic Stenosis;Pregnancy Complications, Cardiovascular;Twins;Myocardial Contraction;Pre-Eclampsia;Heart Defects, Congenital;Liver Transplantation;Ultrasonography, Interventional;Amlodipine;Altitude Sickness;Liver"
