Symptom,Disease
hemorrhagic gastroenteritis,colitis;diverticulitis;phlebitis;inflammatory bowel disease 7;intracranial aneurysm;cardiac tamponade;Carrion's disease;vesiculitis;intracranial berry aneurysm 8;mucositis;prion disease;diabetes mellitus;anemia;uveitis;familial atrial fibrillation;inflammatory bowel disease 12;inflammatory bowel disease 14;Klebsiella pneumonia;gastrointestinal allergy;inflammatory bowel disease 18;atrial fibrillation;inflammatory bowel disease 11;intracranial berry aneurysm 5;inflammatory bowel disease 20;sphingolipidosis;inflammatory bowel disease 28;Crohn's disease;inflammatory bowel disease 30;intracranial berry aneurysm 1;inflammatory bowel disease;inflammatory bowel disease 21;inflammatory bowel disease 19;intracranial berry aneurysm 3;intracranial embolism;intracranial berry aneurysm 10;bronchitis;Caroli disease;eosinophilic meningitis;intracranial berry aneurysm 2;inflammatory bowel disease 5;neuroendocrine tumor;ileitis;gastrointestinal tularemia;inflammatory bowel disease 3;intracranial berry aneurysm 6;gastrointestinal carcinoma;eosinophilic esophagitis;gastrointestinal lymphoma;intracranial berry aneurysm 11;intracranial berry aneurysm 9;scleritis;inflammatory bowel disease 16;inflammatory bowel disease 2;inflammatory bowel disease 17;inflammatory bowel disease 27;inflammatory bowel disease 25;inflammatory bowel disease 4;tendinitis;extracranial neuroblastoma;inflammatory bowel disease 23;diarrhea;Coronavirus infectious disease;inflammatory bowel disease 22;cystinosis;eosinophilic gastritis;inflammatory bowel disease 1;gastritis;intracranial berry aneurysm 12;inflammatory bowel disease 9;inflammatory bowel disease 6;thrombophlebitis migrans;dysentery;inflammatory bowel disease 13;gastrointestinal adenoma;myiasis;gastroenteritis;thrombophlebitis;vasculitis;bone disease;inflammatory bowel disease 15;anal neuroendocrine tumor;inflammatory bowel disease 24;parotitis;arthritis;inflammatory bowel disease 8;inflammatory bowel disease 26;appendicitis;inflammatory bowel disease 29;intracranial berry aneurysm;inflammatory bowel disease 10;kidney disease;proctitis;intracranial berry aneurysm 4;nail disease;amebiasis;mastitis;intracranial berry aneurysm 7;byssinosis
dyspneic enteritis,
enteritis,inflammatory bowel disease 30;colitis;inflammatory bowel disease 27;urethritis;Coats disease;periarthritis;inflammatory bowel disease;vasculitis;viral esophagitis;bone disease;inflammatory bowel disease 21;phlebitis;nephritis;nasopharyngitis;inflammatory bowel disease 19;short bowel syndrome;inflammatory bowel disease 7;inflammatory bowel disease 25;inflammatory bowel disease 4;autism spectrum disorder;inflammatory bowel disease 15;Carrion's disease;nocardiosis;prion disease;inflammatory bowel disease 23;inflammatory bowel disease 24;bronchitis;Caroli disease;arthritis;coccidiosis;eosinophilic meningitis;uveitis;inflammatory bowel disease 8;inflammatory bowel disease 22;inflammatory bowel disease 26;inflammatory bowel disease 5;ileitis;eosinophilic gastritis;inflammatory bowel disease 12;inflammatory bowel disease 14;inflammatory bowel disease 1;inflammatory bowel disease 29;gastritis;inflammatory bowel disease 18;inflammatory bowel disease 3;pharyngitis;inflammatory bowel disease 10;actinobacillosis;inflammatory bowel disease 9;inflammatory bowel disease 11;inflammatory bowel disease 20;gastrointestinal carcinoma;autistic disorder;eosinophilic esophagitis;inflammatory bowel disease 6;tic disorder;inflammatory bowel disease 13;orchitis;neuronitis;neuritis;inflammatory bowel disease 28;esophagitis;scleritis;mastitis;inflammatory bowel disease 16;gastroenteritis;inflammatory bowel disease 2;Crohn's disease;inflammatory bowel disease 17
hematuria,ureteral obstruction;nephrotic syndrome type 11;lupus nephritis;myositis;sialolithiasis;vesiculitis;skin hemangioma;diabetes mellitus;testicular disease;deep angioma;nephrotic syndrome type 18;nephrotic syndrome type 19;vascular skin disease;varicose veins;chorioangioma;vascular disease;nephrotic syndrome type 22;familial nephrotic syndrome;diabetic neuropathy;nephrotic syndrome type 4;COVID-19;nephrotic syndrome type 13;nephrotic syndrome;IgA glomerulonephritis;factor XIII deficiency;urethral calculus;factor VIII deficiency;brain glioma;ureterolithiasis;nephrotic syndrome type 16;ovarian carcinoma;Netherton syndrome;factor V deficiency;nephrotic syndrome type 20;glomerulonephritis;choriocarcinoma;hypertension;leiomyoma;diabetic angiopathy;panniculitis;Jacobsen Syndrome;placental insufficiency;nephrotic syndrome type 23;cystitis;angiomyoma;nephrotic syndrome type 10;diabetic retinopathy;scleritis;factor XI deficiency;nephrotic syndrome type 2;nephrotic syndrome type 8;ehrlichiosis;factor VII deficiency;nephrotic syndrome type 17;nephrotic syndrome type 14;urethral obstruction;adenomyoma;myeloid neoplasm;nephrotic syndrome type 1;teratocarcinoma;renal artery obstruction;post-thrombotic syndrome;nephrotic syndrome type 6;nephrotic syndrome type 12;cholangiocarcinoma;factor XII deficiency;diabetic encephalopathy;carcinoma;myoma;paraganglioma;renal hypertension;Klippel-Trenaunay syndrome;apocrine carcinoma;vasculitis;urolithiasis;factor X deficiency;muscular disease;cholelithiasis;intestinal obstruction;nephrotic syndrome type 7;venous insufficiency;Munchausen by proxy;choriocarcinoma of ovary;hemangioma;nephrosis;nephrotic syndrome type 5;Muenke Syndrome;nephrotic syndrome type 21;nephrotic syndrome type 15;colon carcinoma;kidney disease;nephrolithiasis;fasciitis;glomangioma;lymphangioma;nephrotic syndrome type 3;hydronephrosis;nephrotic syndrome type 9;mastitis
hemorrhage,intracranial berry aneurysm 1;purpura;brain edema;axonal neuropathy;penile disease;intracranial aneurysm;myositis;intracranial berry aneurysm 3;pulmonary artery disease;endometritis;hemophilia B;intracranial embolism;teratoma;extracranial neuroblastoma;intracranial berry aneurysm 8;intracranial berry aneurysm 10;renal artery disease;stomach disease;femoral neuropathy;pica disease;hypertension;intracranial berry aneurysm 2;endometriosis;gastrointestinal allergy;gastrointestinal tularemia;intracranial berry aneurysm;cervix endometriosis;intracranial berry aneurysm 6;intracranial berry aneurysm 5;intracranial berry aneurysm 12;morbid obesity;coronary artery disease;lens disease;pedophilia;polygenic disease;intracranial berry aneurysm 4;cystitis;radial neuropathy;COVID-19;splenic disease;carotid stenosis;gastrointestinal lymphoma;peroneal neuropathy;intracranial berry aneurysm 11;obesity;intracranial berry aneurysm 9;blood coagulation disease;gastrointestinal adenoma;renal hypertension;mastitis;intracranial berry aneurysm 7
hepatic necrosis,colitis;angiosarcoma;hepatic infarction;inflammatory bowel disease 7;polycythemia vera;myocardial infarction;immune system disease;iris disease;apical myocardial infarction;cystic fibrosis;testicular disease;pancreatitis;vascular skin disease;hepatitis B;vascular disease;hepatic veno-occlusive disease;inflammatory bowel disease 12;inflammatory bowel disease 14;spinal disease;inflammatory bowel disease 18;inferior myocardial infarction;inflammatory bowel disease 11;inflammatory bowel disease 20;dermatitis;lung carcinoma;gallbladder disease;hepatitis D;posterior myocardial infarction;inflammatory bowel disease 28;bladder disease;hypereosinophilic syndrome;inflammatory bowel disease 30;inflammatory bowel disease;inflammatory bowel disease 21;pericarditis;inflammatory bowel disease 19;pericholangitis;multiple sclerosis;Ollier disease;cerebrovascular disease;posterolateral myocardial infarction;choriocarcinoma;acute cholangitis;inflammatory bowel disease 5;ileitis;hepatitis A;inflammatory bowel disease 3;pharyngitis;gastrointestinal carcinoma;cerebral degeneration;liver disease;septal myocardial infarction;inflammatory bowel disease 16;inflammatory bowel disease 2;inflammatory bowel disease 17;inflammatory bowel disease 27;retinal disease;hepatitis E;hilar lung carcinoma;thrombocytosis;inflammatory bowel disease 25;inflammatory bowel disease 4;ischemia;Mahvash Disease;cardiovascular system disease;inflammatory bowel disease 23;bile duct disease;acute pancreatitis;inflammatory bowel disease 22;lateral myocardial infarction;silent myocardial infarction;hepatic vascular disease;adenocarcinoma;cholangiolocellular carcinoma;retinal ischemia;inflammatory bowel disease 1;hepatitis C;pneumatosis cystoides intestinalis;myelofibrosis;anterolateral myocardial infarction;inflammatory bowel disease 9;cholangiocarcinoma;inflammatory bowel disease 6;brain ischemia;thrombosis;inflammatory bowel disease 13;laryngitis;acute myocardial infarction;acute anterolateral myocardial infarction;inflammatory bowel disease 15;muscular disease;keratitis;colon adenocarcinoma;inflammatory bowel disease 24;parotitis;inflammatory bowel disease 8;splenic infarction;Danon disease;inflammatory bowel disease 26;cholangitis;acrodermatitis;posteroinferior myocardial infarction;cysticercosis;macular degeneration;polycythemia;intestinal disease;inflammatory bowel disease 10;colon carcinoma;anteroseptal myocardial infarction;hepatitis;inflammatory bowel disease 29
hepatitis,psoriasis 3;psoriasis 4;hepatitis E;psoriasis 9;mucopolysaccharidosis;psoriasis 13;psoriasis 12;psoriasis 10;uremia;hepatitis B;psoriasis 15;Rift Valley fever;loiasis;hepatitis C;hepatitis A;psoriasis 2;ptosis;ascariasis;parapsoriasis;psoriasis 1;psoriasis 5;psoriasis;liver cirrhosis;hepatitis D;hepatitis;psoriasis 11;psoriasis 8;psoriasis 7;setariasis;psoriasis 6
hepatosplenomegaly,
hydrocephalus,congenital hypothyroidism;congenital nongoitrous hypothyroidism 3;viral encephalitis;congenital nongoitrous hypothyroidism 1;iodine hypothyroidism;congenital nongoitrous hypothyroidism 9;congenital nongoitrous hypothyroidism 2;congenital nongoitrous hypothyroidism 6;Danon disease;brucellosis;nephritis;intracranial abscess;postsurgical hypothyroidism;teratoma;nervous system disease;Dandy-Walker syndrome;autonomic nervous system neoplasm;thrombocytosis;encephalomyelitis;central diabetes insipidus;thrombosis;congenital syphilis;intracranial aneurysm;Chandler syndrome;autonomic nervous system benign neoplasm;congenital nongoitrous hypothyroidism 8;hydrocephalus;brain edema;diabetes insipidus;congenital nongoitrous hypothyroidism 5;encephalitis;meningocele;autonomic nervous system disease;congenital nongoitrous hypothyroidism 7;congenital nongoitrous hypothyroidism 4
hypergammaglobulinemia,pyelonephritis;IgA glomerulonephritis;cardiovascular system disease;amyloidosis;retinal disease;cataract 29;Sjogren's syndrome;Bjornstad syndrome;familial mediterranean fever;intestinal disease;acquired immunodeficiency syndrome;apical myocardial infarction;cataract 25;heart disease;monoclonal gammopathy of uncertain significance;rectal disease;venous insufficiency;Horner's syndrome;cataract 37;macroglobulinemia;exanthem;Guillain-Barre syndrome;autoimmune glomerulonephritis;agammaglobulinemia 7;polyclonal hypergammaglobulinemia;pyoderma gangrenosum;membranous glomerulonephritis;spinal disease;von Willebrand's disease 3;cataract 18;melioidosis;vascular disease;diffuse glomerulonephritis;cataract 35;agammaglobulinemia 5;vein disease;subacute glomerulonephritis;agammaglobulinemia 9;hypercalcemia;cerebrovascular disease;von Willebrand's disease 2;silent myocardial infarction;cataract 27;von Willebrand's disease 1;cataract 47;cataract 40;cataract 43;lateral myocardial infarction;retinal vascular disease;crescentic glomerulonephritis;cataract 45;lymphoproliferative syndrome;uterine inflammatory disease;abetalipoproteinemia;mucopolysaccharidosis;cataract;cataract 30;agammaglobulinemia 3;cataract 42;agammaglobulinemia 8B;carotenemia;von Willebrand's disease;agammaglobulinemia 4;cataract 48;cataract 23;cataract 36;cataract 7;glomerulonephritis;cataract 44;multiple myeloma;peripheral vascular disease;myocardial infarction;smoldering myeloma;lymphoproliferative syndrome 2;posterior myocardial infarction;placental insufficiency;agammaglobulinemia;agammaglobulinemia 8A;acute myocardial infarction;X-linked agammaglobulinemia;septal myocardial infarction;Gaucher's disease;autoimmune disease;agammaglobulinemia 6;kidney disease;exudative glomerulonephritis;cataract 33;hyperglycemia;Danon disease;inferior myocardial infarction;Conn's syndrome;lymphoproliferative syndrome 1;cataract 38;agammaglobulinemia 1;nail disease;peripheral artery disease;agammaglobulinemia 2;hepatic vascular disease;enterokinase deficiency;cataract 28;dysgammaglobulinemia;myelofibrosis;agammaglobulinemia 10;Sjogren-Larsson syndrome;mucopolysaccharidosis I;cataract 41;Gaucher's disease type I;transient hypogammaglobulinemia;cataract 24
hyperpigmentation,type 2 diabetes mellitus;type 1 diabetes mellitus;kidney disease;renal carcinoma;penis carcinoma;anus adenocarcinoma;varicose veins;cecum adenocarcinoma;gastric adenocarcinoma;vein disease;adenocarcinoma;gingival disease;lung carcinoma;teratocarcinoma;villous adenocarcinoma;tubular adenocarcinoma;jejunal adenocarcinoma;acanthosis nigricans;rectum adenocarcinoma;bone carcinoma;thymus adenocarcinoma;comedo carcinoma;breast adenocarcinoma;adenocarcinoma in situ;cystadenocarcinoma;eye carcinoma;leprosy;vulva adenocarcinoma;Peutz-Jeghers syndrome;bladder adenocarcinoma;colon adenocarcinoma;lichen planus;cardiofaciocutaneous syndrome;urethra adenocarcinoma;ovary adenocarcinoma;adrenal carcinoma;lung adenocarcinoma;skin disease;adenosarcoma;anal carcinoma;diabetes mellitus;ureter adenocarcinoma;vitreous syneresis;vitiligo;skin carcinoma;carcinoma;eccrine adenocarcinoma;duodenal benign neoplasm;melanomatosis;hypopigmentation of eyelid;photosensitivity disease;hyperpigmentation of eyelid
hyperreflexia,essential tremor 3;leukostasis;Parkinson's disease 2;secondary Parkinson disease;blepharitis;Charcot-Marie-Tooth disease type 1E;essential tremor 4;Charcot-Marie-Tooth disease axonal type 2K;dystonia 5;vestibular disease;Tietz syndrome;dystonia;central nervous system disease;Charcot-Marie-Tooth disease type 2DD;dystonia 23;hyperthyroidism;ARC syndrome;Parkinson's disease 19A;thyrotoxicosis;amyotrophic lateral sclerosis type 16;Charcot-Marie-Tooth disease type 4;amyotrophic lateral sclerosis type 6;Charcot-Marie-Tooth disease axonal type 2F;dystonia 27;Parkinson's disease 25;optic atrophy 3;optic atrophy 10;mastitis;hypotrichosis;Parkinson's disease 22;optic atrophy 1;peripheral nervous system disease;optic atrophy 12;Pendred Syndrome;cerebellar ataxia type 9;Muenke Syndrome;Alagille syndrome;cerebellar ataxia type 47;biotin deficiency;Charcot-Marie-Tooth disease type 4F;Charcot-Marie-Tooth disease axonal type 2S;essential tremor 2;Charcot-Marie-Tooth disease type 4D;lacrimal apparatus disease;Scheie syndrome;amyotrophic lateral sclerosis type 12;multiple system atrophy;spinocerebellar ataxia 46;cholestasis;amyotrophic lateral sclerosis type 20;respiratory system disease;Binder syndrome;encephalitis;Charcot-Marie-Tooth disease type 3;optic atrophy 2;Charcot-Marie-Tooth disease type 2B1;Charcot-Marie-Tooth disease type 4H;Charcot-Marie-Tooth disease axonal type 2O;syphilis;Charcot-Marie-Tooth disease axonal type 2Z;tic disorder;dystonia 9;dystonia 33;amyotrophic lateral sclerosis type 21;dystonia 30;Charcot-Marie-Tooth disease axonal type 2Q;Parkinson's disease 20;spinocerebellar ataxia 44;essential tremor 5;neurodermatitis;amyotrophic lateral sclerosis type 4;brain compression;Charcot-Marie-Tooth disease type 6;Charcot-Marie-Tooth disease axonal type 2L;testicular disease;Parkinson's disease 15;Charcot-Marie-Tooth disease type 4K;essential tremor 1;breast disease;Mahvash Disease;Charcot-Marie-Tooth disease type 4E;Ogden syndrome;Meige syndrome;upper respiratory tract disease;optic nerve disease;nervous system disease;Charcot-Marie-Tooth disease, axonal type 2W;Charcot-Marie-Tooth disease axonal type 2T;Charcot-Marie-Tooth disease type 4C;Parkinson's disease 6;cerebellar ataxia type 48;vitamin B12 deficiency;amyotrophic lateral sclerosis type 1;Charcot-Marie-Tooth disease type 2EE;Charcot-Marie-Tooth disease type X;Parkinson's disease 21;paraplegia;Charcot-Marie-Tooth disease type 4B3;Achard syndrome;lower respiratory tract disease;hypertrichosis;amyotrophic lateral sclerosis type 7;Charcot-Marie-Tooth disease type 2I;optic atrophy;Charcot-Marie-Tooth disease axonal type 2H;optic atrophy 4;Charcot-Marie-Tooth disease axonal type 2CC;IMAGe syndrome;autonomic nervous system benign neoplasm;dystonia 24;radiculopathy;Cowden syndrome;dystonia 25;beriberi;Charcot-Marie-Tooth disease type 2A2B;alexia;Charcot-Marie-Tooth disease type 1A;Graves' disease;dystonia 32;amyotrophic lateral sclerosis type 2;Charcot-Marie-Tooth disease type 1C;spinocerebellar ataxia 45;optic atrophy 7;amyotrophic lateral sclerosis type 8;Charcot-Marie-Tooth disease type 4A;amyotrophic lateral sclerosis type 26;amyotrophic lateral sclerosis type 19;cerebellar ataxia;hypohidrosis;amyotrophic lateral sclerosis type 22;Bell's palsy;optic atrophy 11;Charcot-Marie-Tooth disease type 2B;anhidrosis;peripheral nervous system neoplasm;Liddle syndrome;Charcot-Marie-Tooth disease axonal type 2C;Krabbe disease;Prieto syndrome;dyslexia;Charcot-Marie-Tooth disease type 7;Charcot-Marie-Tooth disease type 4B1;amyotrophic lateral sclerosis type 10;tauopathy;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 9;Charcot-Marie-Tooth disease type 2J;amyotrophic lateral sclerosis type 3;Aicardi syndrome;hypokalemic periodic paralysis;Parkinson's disease;Charcot-Marie-Tooth disease axonal type 2U;neurilemmoma;dysthymic disorder;cerebellar ataxia type 43;Adie syndrome;Parkinson's disease 4;prion disease;Charcot-Marie-Tooth disease type 1D;amyotrophic lateral sclerosis type 24;polyradiculopathy;thiamine deficiency disease;dermatitis;Parkinson's disease 14;amyotrophic lateral sclerosis type 25;amyotrophic lateral sclerosis type 18;Charcot-Marie-Tooth disease type 1;Parkinson's disease 1;CINCA Syndrome;Charcot-Marie-Tooth disease type 2A2A;Charcot-Marie-Tooth disease type 2R;Charcot-Marie-Tooth disease type 2A1;Charcot-Marie-Tooth disease type 1B;Charcot-Marie-Tooth disease type 4B2;optic atrophy 9;Charcot-Marie-Tooth disease axonal type 2X;amyotrophic lateral sclerosis type 23;meningoencephalitis;Parkinson's disease 3;autonomic nervous system disease;diarrhea;Charcot-Marie-Tooth disease;hepatitis;Parkinson's disease 8;amyotrophic lateral sclerosis type 15;optic atrophy 8;dystonia 21;Eiken syndrome;peripheral nervous system benign neoplasm;Charcot-Marie-Tooth disease type 2D;Charcot-Marie-Tooth disease type 2E;cerebral palsy;amyotrophic lateral sclerosis type 28;Danon disease;cerebellar ataxia type 42;amyotrophic lateral sclerosis;dystonia 16;blepharospasm;autonomic nervous system neoplasm;Charcot-Marie-Tooth disease axonal type 2V;pain disorder;dystonia 31;serine deficiency;hypothyroidism;Parkinson's disease 7;keratitis;dystonia 12;quadriplegia;Charcot-Marie-Tooth disease type 2;Parkinsonism;Charcot-Marie-Tooth disease type 1G;essential tremor 6;hyperkalemic periodic paralysis;Charcot-Marie-Tooth disease type 1F;cerebellar ataxia type 41;Gorham's disease;Charcot-Marie-Tooth disease intermediate type;Parkinson's disease 17;Charcot-Marie-Tooth disease axonal type 2P;Parkinson's disease 23;Charcot-Marie-Tooth disease type 5;amyotrophic lateral sclerosis type 11;Armfield syndrome;Charcot-Marie-Tooth disease type 4G;essential tremor;optic atrophy 5;dermatomyositis;Charcot-Marie-Tooth disease axonal type 2N;blepharophimosis;facial paralysis;hyperparathyroidism;sporatic amyotrophic lateral sclerosis;Charcot-Marie-Tooth disease type 2Y;acrodermatitis;Charcot-Marie-Tooth disease type 2B2;Kunjin encephalitis;amyotrophic lateral sclerosis type 13;hypoparathyroidism;optic atrophy 6;Charcot-Marie-Tooth disease type 4J;neuromuscular disease
